exp_id,page_id,time,fixation
579,1215,17,"[[659.0, 121.0, 200, 140818, 141018], [516.7, 121.0, 276, 142200, 142476], [462.625, 121.0, 264, 142506, 142770], [811.0, 121.0, 390, 143837, 144227], [754.9333333333333, 121.0, 482, 144256, 144738], [942.2727272727273, 121.0, 280, 144869, 145149], [1049.142857142857, 121.0, 201, 145355, 145556], [1072.842105263158, 121.0, 534, 145589, 146123], [1233.5555555555557, 121.0, 213, 146314, 146527], [1150.4, 121.0, 248, 146555, 146803], [1359.3333333333333, 121.0, 419, 146945, 147364], [1513.2631578947369, 121.0, 511, 147474, 147985]]"
579,1215,18,"[[528.0952380952381, 173.0, 555, 148937, 149492], [561.2222222222222, 173.0, 220, 149521, 149741], [709.0, 173.0, 392, 149901, 150293], [793.625, 173.0, 200, 150401, 150601], [1047.0, 173.0, 618, 151094, 151712], [999.5555555555555, 173.0, 241, 151740, 151981], [1241.4615384615386, 173.0, 401, 152365, 152766], [1422.1666666666667, 173.0, 352, 153332, 153684], [1451.0, 173.0, 434, 153714, 154148], [1495.0, 173.0, 213, 154184, 154397], [492.75, 225.0, 225, 155574, 155799], [554.9, 225.0, 264, 155836, 156100], [633.0625, 225.0, 403, 156133, 156536]]"
585,1226,0,"[[454.4, 121.0, 245, 10470, 10715], [433.14285714285717, 121.0, 204, 12883, 13087], [379.375, 121.0, 230, 13114, 13344], [434.875, 121.0, 493, 13511, 14004], [577.1, 121.0, 321, 14211, 14532], [648.1428571428571, 121.0, 203, 14669, 14872], [696.7142857142857, 121.0, 202, 14906, 15108], [748.4166666666666, 121.0, 373, 15137, 15510], [685.0, 121.0, 208, 15545, 15753], [908.8181818181819, 121.0, 332, 16088, 16420], [973.0, 121.0, 375, 16455, 16830]]"
585,1226,1,"[[1155.1290322580646, 121.0, 1041, 17684, 18725], [1106.0714285714287, 121.0, 440, 18759, 19199], [1194.5714285714287, 121.0, 211, 19232, 19443], [1256.2857142857142, 121.0, 207, 19473, 19680], [1362.6315789473683, 121.0, 642, 19745, 20387], [1335.7333333333333, 121.0, 486, 20420, 20906], [1404.5714285714287, 121.0, 208, 21461, 21669], [1647.1818181818182, 121.0, 347, 22079, 22426], [1563.5714285714287, 121.0, 206, 22456, 22662], [1521.3333333333333, 121.0, 385, 22696, 23081], [1574.8181818181818, 121.0, 337, 23109, 23446], [1594.7142857142858, 121.0, 208, 23474, 23682], [1579.5, 121.0, 309, 23720, 24029], [1647.08, 121.0, 813, 24057, 24870], [1613.1666666666667, 121.0, 361, 24904, 25265]]"
585,1226,2,"[[347.64285714285717, 173.0, 450, 26114, 26564], [389.3333333333333, 173.0, 361, 26602, 26963], [389.15384615384613, 173.0, 403, 27591, 27994], [370.1, 173.0, 294, 28307, 28601], [676.0, 173.0, 578, 29223, 29801], [741.8571428571429, 173.0, 443, 29841, 30284], [798.375, 173.0, 221, 30925, 31146], [868.7777777777778, 173.0, 283, 31183, 31466], [1002.7894736842105, 173.0, 595, 31675, 32270], [1029.0, 173.0, 469, 32309, 32778], [1423.9, 173.0, 305, 33445, 33750], [1195.111111111111, 173.0, 299, 34076, 34375]]"
585,1226,3,"[[1273.6190476190477, 173.0, 678, 34455, 35133], [1338.25, 173.0, 507, 35166, 35673], [1349.5625, 173.0, 510, 35711, 36221], [1493.4444444444443, 173.0, 263, 37069, 37332], [1489.6153846153845, 173.0, 407, 37367, 37774], [1553.0625, 173.0, 522, 37805, 38327], [1499.7142857142858, 173.0, 207, 38358, 38565], [1570.8333333333333, 173.0, 372, 38599, 38971], [1605.6363636363637, 173.0, 342, 39007, 39349], [1565.6, 173.0, 444, 39443, 39887], [1688.5714285714287, 173.0, 206, 40034, 40240], [410.1111111111111, 225.0, 272, 40872, 41144], [456.75, 225.0, 239, 41179, 41418], [396.1, 225.0, 320, 41448, 41768], [554.3571428571429, 225.0, 447, 41901, 42348]]"
585,1226,4,"[[490.4, 225.0, 304, 42382, 42686], [666.9, 225.0, 305, 43304, 43609], [705.2857142857143, 225.0, 205, 43643, 43848], [718.25, 225.0, 371, 43877, 44248], [687.2307692307693, 225.0, 402, 44352, 44754], [889.7142857142857, 225.0, 207, 45047, 45254], [947.2, 225.0, 313, 45289, 45602], [985.875, 225.0, 238, 45636, 45874], [1078.2307692307693, 225.0, 399, 46821, 47220], [963.0, 225.0, 202, 47782, 47984], [893.625, 225.0, 209, 48018, 48227], [1028.625, 225.0, 237, 48281, 48518], [1081.0625, 225.0, 502, 48553, 49055], [1136.2857142857142, 225.0, 201, 49087, 49288], [1174.2631578947369, 225.0, 597, 49323, 49920], [1100.875, 225.0, 257, 49955, 50212]]"
585,1226,5,"[[1375.2857142857142, 225.0, 213, 50436, 50649], [1396.9166666666667, 225.0, 370, 50819, 51189], [1397.5294117647059, 225.0, 557, 51218, 51775], [1558.1, 225.0, 301, 51982, 52283], [1531.9, 225.0, 284, 52316, 52600], [1616.3333333333333, 225.0, 465, 52635, 53100], [355.77777777777777, 277.0, 279, 53964, 54243], [448.0833333333333, 277.0, 404, 54336, 54740], [506.25, 277.0, 244, 54774, 55018], [514.3571428571429, 277.0, 431, 55565, 55996], [658.0, 277.0, 424, 56377, 56801], [619.5, 277.0, 234, 56870, 57104], [654.875, 277.0, 238, 57132, 57370], [740.7142857142857, 277.0, 216, 57509, 57725]]"
585,1226,6,"[[774.3225806451613, 277.0, 1008, 57759, 58767], [840.0, 277.0, 250, 58800, 59050], [1006.2857142857143, 277.0, 208, 59294, 59502], [1072.4166666666667, 277.0, 366, 59537, 59903], [1132.0, 277.0, 262, 59937, 60199], [1199.857142857143, 277.0, 219, 60234, 60453], [1599.0, 277.0, 208, 60779, 60987], [1531.8461538461538, 277.0, 398, 61028, 61426], [1448.9, 277.0, 317, 61531, 61848], [1656.0833333333333, 277.0, 370, 62268, 62638], [629.5, 329.0, 202, 64050, 64252], [561.7142857142857, 329.0, 233, 64435, 64668], [581.5882352941177, 329.0, 594, 64706, 65300], [655.125, 329.0, 521, 65335, 65856], [798.2857142857143, 329.0, 212, 65983, 66195], [850.8181818181819, 329.0, 375, 66231, 66606]]"
585,1226,7,"[[850.8181818181819, 329.0, 375, 66231, 66606], [977.5555555555555, 329.0, 286, 66681, 66967], [977.5, 329.0, 306, 67000, 67306], [1031.4, 329.0, 311, 67995, 68306], [1147.2727272727273, 329.0, 347, 69022, 69369], [1228.2857142857142, 329.0, 225, 69401, 69626], [1293.1, 329.0, 312, 69660, 69972], [1353.578947368421, 329.0, 592, 70011, 70603], [1341.2105263157894, 329.0, 618, 70639, 71257], [1527.1, 329.0, 323, 71430, 71753], [1463.5714285714287, 329.0, 201, 72437, 72638], [1507.857142857143, 329.0, 460, 72672, 73132], [482.75, 381.0, 230, 74373, 74603]]"
